name
Wankhede Stadium
Himachal Pradesh Cricket Association Stadium
Eden Gardens
"Punjab Cricket Association Stadium, Mohali"
MA Chidambaram Stadium
Dr DY Patil Sports Academy
Rajiv Gandhi International Stadium
Saurashtra Cricket Association Stadium
Kingsmead
Arun Jaitley Stadium
Maharashtra Cricket Association Stadium
Dubai International Cricket Stadium
Green Park
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
SuperSport Park
M Chinnaswamy Stadium
Feroz Shah Kotla
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
"Sardar Patel Stadium, Motera"
JSCA International Stadium Complex
Holkar Cricket Stadium
"Barsapara Cricket Stadium, Guwahati"
Sharjah Cricket Stadium
"Narendra Modi Stadium, Ahmedabad"
Punjab Cricket Association IS Bindra Stadium
"Zayed Cricket Stadium, Abu Dhabi"
Sawai Mansingh Stadium
"Vidarbha Cricket Association Stadium, Jamtha"
Brabourne Stadium
Sheikh Zayed Stadium
New Wanderers Stadium
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur"
Subrata Roy Sahara Stadium
De Beers Diamond Oval
Barabati Stadium
Nehru Stadium
OUTsurance Oval
Shaheed Veer Narayan Singh International Stadium
St George's Park
Newlands
Buffalo Park
