name
Chennai Super Kings
Royal Challengers Bangalore
Sunrisers Hyderabad
Kolkata Knight Riders
Mumbai Indians
Delhi Daredevils
Deccan Chargers
Rajasthan Royals
Rising Pune Supergiants
Kings XI Punjab
Punjab Kings
Lucknow Super Giants
Pune Warriors
Gujarat Titans
Delhi Capitals
Kochi Tuskers Kerala
Royal Challengers Bengaluru
Gujarat Lions
Rising Pune Supergiant
